Doc_63 :Topic_5:0.203725510871897, Topic_1:0.19870044930102812, Topic_8:0.12574327958681053, Topic_4:0.10916388517836696, Topic_0:0.10183717001733592, Topic_7:0.0817564426524814, Topic_3:0.05668608253566197, Topic_2:0.0489515988007814, Topic_6:0.042388614278950416, Topic_9:0.031046966776686252
Doc_64 :Topic_4:0.27660927058655116, Topic_0:0.18571524555272878, Topic_6:0.12644589631508044, Topic_2:0.11447813726741146, Topic_5:0.0847817674307892, Topic_9:0.07355778586183032, Topic_1:0.042297817350581794, Topic_3:0.041473502059842564, Topic_8:0.0297242493794743, Topic_7:0.024916328195710095
Doc_65 :Topic_6:0.238911749677032, Topic_5:0.17977750367255818, Topic_8:0.14087767600571277, Topic_4:0.10879692614113597, Topic_9:0.09142070293272317, Topic_2:0.07694792911973596, Topic_0:0.05833129963683132, Topic_3:0.04711762461323178, Topic_1:0.03519924276199486, Topic_7:0.022619345439043915
Doc_66 :Topic_8:0.2783075285183303, Topic_0:0.18559476231196786, Topic_2:0.15663063816798783, Topic_6:0.1355202253727608, Topic_3:0.07549256547273579, Topic_4:0.04507038915953781, Topic_7:0.041813207082356765, Topic_1:0.029978447016566018, Topic_9:0.027445558267650442, Topic_5:0.02414667863010647
Doc_67 :Topic_9:0.4284797950926381, Topic_3:0.3099158829931521, Topic_2:0.07260708957145223, Topic_4:0.07162478635996469, Topic_8:0.033666035366481176, Topic_1:0.023411789049097444, Topic_6:0.02216728254344807, Topic_5:0.020502740143427168, Topic_0:0.011690859638979197, Topic_7:0.005933739241359917
Doc_68 :Topic_9:0.5419596214460605, Topic_8:0.22925287217520954, Topic_3:0.05988787258557251, Topic_2:0.037641051982978485, Topic_1:0.035290281630644516, Topic_0:0.030157141758020797, Topic_6:0.029943339044822947, Topic_4:0.018202134411250806, Topic_5:0.01224188230028824, Topic_7:0.005423802665151653
Doc_69 :Topic_8:0.5332107304439255, Topic_9:0.31173538916839744, Topic_2:0.03451430524497338, Topic_4:0.0260128421700423, Topic_3:0.022016476141647867, Topic_1:0.021652563771678433, Topic_6:0.020148763833037993, Topic_5:0.01282380066745743, Topic_0:0.011818073887923006, Topic_7:0.006067054670916677
Doc_70 :Topic_9:0.32318263795157576, Topic_8:0.1797756793909574, Topic_6:0.1390522927770869, Topic_0:0.06326805687640018, Topic_1:0.060020529738441596, Topic_5:0.059576885166451564, Topic_2:0.053730111710115415, Topic_4:0.047698985123091404, Topic_3:0.045960571223453144, Topic_7:0.027734250042426748
Doc_71 :Topic_9:0.47311743756331764, Topic_2:0.18105004157455318, Topic_8:0.1521982465026326, Topic_1:0.04071306949652465, Topic_3:0.037269656087431526, Topic_0:0.03438527710987515, Topic_4:0.028549787337806797, Topic_6:0.021500671143698503, Topic_5:0.01945565177193287, Topic_7:0.011760161412227122
Doc_72 :Topic_8:0.45849659944133697, Topic_9:0.412480624975674, Topic_2:0.022126816501838387, Topic_3:0.02172128755648328, Topic_4:0.0184565991564086, Topic_6:0.017552711399765216, Topic_0:0.016687509269010185, Topic_1:0.01502922739172251, Topic_5:0.01093502448687753, Topic_7:0.006513599820883431
Doc_73 :Topic_9:0.5495658277835627, Topic_8:0.20000499407668848, Topic_2:0.14145575852060904, Topic_4:0.021478510009102683, Topic_5:0.019273508742635476, Topic_0:0.018959115670496886, Topic_3:0.018793250839409546, Topic_1:0.01204557670511601, Topic_6:0.011828958102992069, Topic_7:0.006594499549387053
Doc_74 :Topic_6:0.20882681962081143, Topic_2:0.20039844599295897, Topic_8:0.13279809756969244, Topic_0:0.1110070768279958, Topic_4:0.09248874360046896, Topic_1:0.09073061678151638, Topic_7:0.04647992765666741, Topic_5:0.04641685599981518, Topic_3:0.038660352087729714, Topic_9:0.032193063862343656
Doc_75 :Topic_8:0.4621006948407848, Topic_9:0.25906331586622494, Topic_0:0.05678007284437604, Topic_2:0.0469652042686482, Topic_3:0.044646169638724295, Topic_6:0.04126290004506595, Topic_1:0.033880810767231186, Topic_4:0.03028669237031774, Topic_5:0.01740958805166085, Topic_7:0.007604551306966039
Doc_76 :Topic_8:0.25248722082472796, Topic_9:0.18024767222182694, Topic_3:0.1443985045975177, Topic_4:0.07969827505238852, Topic_1:0.07796049774038628, Topic_2:0.06906209601580224, Topic_5:0.06896574098287055, Topic_0:0.05374656765883408, Topic_7:0.04392446871426504, Topic_6:0.029508956191380546
Doc_77 :Topic_8:0.35366123579303643, Topic_9:0.3389219185636726, Topic_0:0.08582262808763237, Topic_3:0.07437939575312887, Topic_1:0.03684449078270568, Topic_4:0.03306617203041223, Topic_6:0.03216154855096073, Topic_5:0.016300816613494005, Topic_2:0.01558676856694766, Topic_7:0.013255025258009544
Doc_78 :Topic_8:0.21570095263502123, Topic_9:0.15070787633511623, Topic_2:0.1078077150305157, Topic_5:0.10267928891837697, Topic_1:0.08822101780874272, Topic_0:0.08618517991633115, Topic_3:0.08156121057314515, Topic_6:0.07699881862462869, Topic_4:0.05744482101544008, Topic_7:0.032693119142682234
Doc_79 :Topic_1:0.42009491331808047, Topic_8:0.11811292660164656, Topic_6:0.100245558139619, Topic_4:0.08677579989642505, Topic_0:0.07830853013309721, Topic_2:0.05253960957790909, Topic_3:0.052206702074520266, Topic_9:0.03456159971100419, Topic_5:0.03061084558859453, Topic_7:0.026543514959103634
Doc_80 :Topic_8:0.4312319628408663, Topic_9:0.4152350089135492, Topic_2:0.047437715412844104, Topic_0:0.022480360350700928, Topic_3:0.02124730258995463, Topic_4:0.01590957459756394, Topic_5:0.014580848576861654, Topic_6:0.014315439037347463, Topic_1:0.010270149565737033, Topic_7:0.0072916381145747555
Doc_81 :Topic_9:0.46453510442511475, Topic_2:0.08320989247610741, Topic_1:0.07902032316052918, Topic_5:0.07508752977963469, Topic_7:0.05975298153119325, Topic_6:0.055118013184116736, Topic_0:0.050163218230450224, Topic_8:0.04815248085845009, Topic_3:0.04558478824571306, Topic_4:0.0393756681086907
Doc_82 :Topic_3:0.5862611569605296, Topic_9:0.23047712314098762, Topic_2:0.049402304121737614, Topic_8:0.03447480781502093, Topic_4:0.03096074389684825, Topic_5:0.016082933945957143, Topic_7:0.014942728791052521, Topic_1:0.014663679261072244, Topic_6:0.011866963947753774, Topic_0:0.010867558119040135
Doc_83 :Topic_4:0.3879696397841531, Topic_3:0.15603678920799133, Topic_6:0.12192038235271248, Topic_7:0.06611738490210899, Topic_0:0.059047228800528664, Topic_8:0.05767857760251353, Topic_5:0.052431308813769596, Topic_1:0.04521432253085688, Topic_2:0.03818616202613881, Topic_9:0.015398203979226624
Doc_84 :Topic_9:0.7722628997783365, Topic_6:0.07211866823691676, Topic_2:0.03582754119395072, Topic_8:0.024943458929904343, Topic_3:0.01979615344013788, Topic_1:0.018073480366565715, Topic_4:0.017882157513074485, Topic_5:0.017130248863565463, Topic_0:0.011793438530954551, Topic_7:0.010171953146593485
Doc_85 :Topic_9:0.22244580778068349, Topic_4:0.15509145066806854, Topic_5:0.13016416525093744, Topic_2:0.10781345889829494, Topic_0:0.1010034710855541, Topic_6:0.08942949317717515, Topic_8:0.059728926953355244, Topic_3:0.048293762316352865, Topic_1:0.048061031544234495, Topic_7:0.037968432325343845
Doc_86 :Topic_1:0.5831322830522915, Topic_9:0.2453306679395754, Topic_4:0.09507000705640639, Topic_2:0.03903972866496251, Topic_6:0.008722532976676842, Topic_5:0.00745840750474326, Topic_3:0.006602976759097849, Topic_8:0.006186951481573127, Topic_7:0.0044168948652286745, Topic_0:0.004039549699444438
Doc_87 :Topic_9:0.91335516213842, Topic_2:0.014499946536987652, Topic_4:0.013354243501047473, Topic_6:0.010005735541302387, Topic_5:0.009309850416651983, Topic_1:0.009026430372473401, Topic_3:0.009004328472731348, Topic_0:0.007509954732248838, Topic_8:0.007412898239065718, Topic_7:0.006521450049071095
